[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2693
[211_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[212_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0581
[213_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0561
[214_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0565
[215_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0564
[216_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0564
[217_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0567
[218_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0497
[219_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0503
[220_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[221_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0502
[222_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0502
[223_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[224_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[225_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0503
[226_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0506
[227_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0503
[228_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[229_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[230_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[231_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[232_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0500
[233_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0501
[234_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0500
[235_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[236_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0502
[237_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[238_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0503
[239_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0504
[240_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0505
[241_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0503
[242_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0505
