[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2637
[185_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0313
[186_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[187_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0326
[188_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0322
[189_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[190_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[191_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0316
[192_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[193_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[194_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0429
[195_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[196_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[197_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0306
[198_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0320
[199_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[200_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[201_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[202_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[203_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[204_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0304
[205_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[206_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[207_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[208_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[209_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0305
[210_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[211_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0326
[212_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[213_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[214_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[215_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[216_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[217_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0313
[218_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[219_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[220_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[221_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0305
[222_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
