[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2669
[109_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[110_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[111_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[112_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[113_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0492
[114_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0500
[115_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[116_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0493
[117_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[118_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[119_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[120_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[121_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[122_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[123_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[124_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[125_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[126_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[127_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[128_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[129_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0492
[130_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[131_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[132_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[133_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[134_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[135_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[136_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[137_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[138_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[139_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[140_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[141_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[142_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0494
[143_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[144_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[145_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0485
[146_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[147_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[148_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[149_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[150_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0478
[151_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[152_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[153_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0487
[154_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0483
[155_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[156_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0486
[157_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[158_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[159_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[160_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[161_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0486
[162_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[163_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0494
[164_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0484
[165_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0493
[166_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[167_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[168_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[169_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[170_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[171_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0492
[172_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[173_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[174_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0486
[175_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[176_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[177_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[178_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[179_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0487
[180_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0497
[181_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[182_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[183_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[184_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0482
[185_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[186_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[187_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[188_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[189_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0233
[190_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0240
[191_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0241
[192_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[193_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0240
[194_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[195_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[196_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[197_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[198_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[199_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[200_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[201_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0240
[202_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0240
[203_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[204_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[205_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0236
[206_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[207_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[208_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0234
[209_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[210_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[211_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[212_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[213_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0240
[214_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[215_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0241
[216_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[217_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0243
[218_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[219_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0240
[220_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[221_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[222_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[223_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[224_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0236
[225_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[226_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[227_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[228_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[229_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[230_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0240
[231_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[232_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0235
[233_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0236
[234_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[235_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[236_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[237_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[238_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[239_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[240_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[241_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[242_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[243_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[244_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[245_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0237
[246_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
[247_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0236
[248_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0236
[249_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0239
[250_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0238
