[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2534
[128_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[129_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[130_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[131_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[132_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[133_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[134_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[135_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[136_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[137_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
[138_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[139_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0284
[140_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[141_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[142_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[143_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[144_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[145_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[146_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0303
[147_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[148_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[149_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[150_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[151_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[152_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[153_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
[154_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0298
[155_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0294
[156_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0294
[157_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[158_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[159_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[160_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[161_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[162_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[163_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0287
[164_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[165_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
